50,29,25,53,125,64,122,74
39,32,28,59,126,60,141,60
44,30,27,55,98,62,97,64
53,30,25,50,91,57,122,65
43,29,29,48,116,68,116,63
39,24,30,43,100,47,94,65
48,24,23,46,98,56,111,57
46,28,27,45,107,58,127,75
45,22,29,47,78,68,132,66
136,28,26,49,89,49,119,69
78,26,27,54,86,51,124,61
132,29,31,48,79,52,111,52
52,23,29,54,95,47,109,65
49,29,29,51,105,56,109,53
36,26,32,59,100,52,102,70
54,25,30,55,101,62,120,78
37,28,31,41,102,56,112,55
47,31,30,52,122,62,186,66
46,27,36,42,113,78,146,71
44,28,36,54,118,73,104,61
48,25,25,57,82,49,119,55
40,26,26,57,95,62,137,56
41,27,29,45,96,60,116,59
51,23,30,44,90,54,111,55
43,33,35,50,88,39,109,55
38,32,38,48,92,58,133,61
48,24,31,45,99,59,116,68
44,28,32,60,91,59,141,68
43,28,35,47,80,117,112,69
37,35,36,53,90,58,117,60
41,25,28,53,96,60,124,75
43,34,31,54,90,55,123,56
42,23,28,59,118,49,133,67
43,26,29,45,89,57,127,66
46,24,29,49,88,53,93,58
43,23,25,56,90,66,121,72
37,22,28,52,96,61,108,56
31,20,28,48,122,47,92,57
38,31,35,54,109,46,141,65
42,28,32,52,110,55,150,71
47,25,28,59,93,48,134,68
49,27,29,58,106,42,134,55
48,27,33,50,92,43,111,60
43,26,29,50,96,53,120,60
39,24,28,51,89,52,145,80
40,25,27,68,102,57,149,69
43,29,26,49,120,64,117,63
34,28,40,43,87,52,141,62
35,26,31,51,80,52,91,48
42,32,25,47,96,46,130,68
