28,37,21,20,86,88,110,62
26,42,21,19,87,91,96,60
26,44,17,19,88,67,92,59
25,40,14,21,88,42,105,59
25,41,13,23,91,46,108,76
24,41,17,23,91,50,98,74
23,43,17,21,87,47,118,81
26,42,18,22,81,37,133,71
25,41,19,24,83,35,125,70
25,42,18,24,87,41,113,68
26,40,17,21,92,36,101,62
29,38,19,23,98,36,112,70
29,40,21,23,97,35,119,70
36,40,19,23,91,45,166,97
37,39,18,23,91,44,173,100
54,38,18,21,95,43,125,95
618,678,479,302,146,142,210,660
1152,1132,777,614,227,236,329,1227
1326,1431,1061,653,288,298,384,1428
1348,1508,1129,600,314,291,371,1597
1365,1539,1243,491,291,267,397,1624
1337,1493,1170,455,305,258,381,1486
1152,1449,1147,406,281,211,246,1290
1154,1298,1009,356,264,179,212,1190
1281,1282,946,329,226,176,185,1212
1245,1278,952,334,228,193,227,1196
1264,1372,1030,354,221,181,231,1161
1107,1318,1063,335,208,149,182,991
954,1263,957,414,240,196,232,1089
941,1177,930,412,238,206,250,1216
1076,1269,829,360,220,170,230,1287
1061,1339,903,280,194,146,217,1252
1067,1297,967,258,198,147,191,1093
1020,1384,969,263,220,167,197,1071
977,1370,996,301,226,144,180,1071
1018,1248,963,329,207,152,196,1148
971,1105,960,318,209,133,190,1100
928,971,982,274,198,112,168,1029
820,974,985,251,176,125,191,906
935,1055,878,230,169,117,196,921
942,1129,907,266,158,125,173,801
897,1102,1010,255,161,134,137,561
699,1111,982,241,165,141,148,662
790,1038,974,257,156,128,161,832
841,1143,978,292,161,140,158,881
899,1303,1104,368,197,148,156,819
941,1333,1028,359,219,150,171,865
1185,1407,1140,429,236,164,213,1033
1074,1285,1224,455,240,175,211,885
941,1308,1223,460,226,173,186,689
