74,28,48,26,50,159,118,56
95,36,41,29,51,173,110,59
106,41,34,32,46,167,95,54
143,46,37,28,49,156,95,61
125,44,37,26,53,165,101,86
114,40,38,30,50,212,134,93
117,36,50,31,46,196,143,106
109,50,61,30,37,208,135,88
97,53,63,29,35,175,113,79
105,59,47,29,40,180,141,63
104,48,47,25,48,144,140,70
107,43,38,27,51,120,94,67
115,38,38,26,44,132,116,83
100,40,48,28,44,131,120,79
107,41,50,26,40,125,131,85
101,34,45,26,38,143,128,81
112,38,44,25,41,137,134,101
104,43,45,25,49,331,139,113
62,51,64,47,548,626,263,117
66,59,75,58,1337,1031,351,151
65,76,150,112,1369,1187,407,148
104,419,204,190,1451,1321,476,133
145,914,282,235,1740,1391,510,139
150,940,316,277,1640,1559,547,163
159,524,410,430,1246,1588,563,158
117,422,433,452,1494,1635,572,140
169,371,441,431,1672,1815,639,139
183,283,468,523,1407,1822,709,150
182,203,472,494,1205,1738,734,181
167,156,332,321,1680,1692,727,184
174,129,366,301,1888,1622,636,203
147,98,326,316,2060,1452,651,181
105,97,308,315,1954,1681,634,155
87,84,310,344,1474,1632,532,121
77,82,249,329,864,1702,527,121
96,95,240,378,703,1645,539,148
103,97,321,366,697,1654,512,153
97,98,331,387,519,1481,483,151
91,90,361,346,671,1445,439,126
96,77,295,325,778,1341,487,127
108,69,258,290,763,1191,496,123
104,71,251,287,650,1210,516,127
103,85,263,325,550,1260,437,131
108,94,299,342,967,1251,400,134
113,88,271,309,953,1429,374,124
96,59,238,258,896,1278,339,107
81,67,303,296,687,1237,396,107
102,73,293,260,656,1143,389,124
98,77,245,263,780,1157,395,123
99,75,239,250,686,1095,401,123
