47,30,37,45,75,40,29,55
31,26,32,38,82,45,43,53
37,31,38,45,82,47,47,49
32,32,33,47,81,40,39,59
44,36,36,59,73,41,46,52
35,34,35,54,72,36,45,55
28,32,35,52,78,42,35,48
31,27,34,48,74,43,30,47
33,27,33,47,70,44,40,58
37,30,37,51,70,46,34,48
39,37,37,50,71,43,34,41
53,62,52,38,104,42,34,48
37,41,53,46,78,36,40,44
40,50,50,35,92,40,40,65
40,43,46,51,83,50,41,50
34,40,41,42,88,48,40,53
32,41,57,58,81,36,45,46
51,48,49,41,91,71,33,54
24,42,52,38,97,32,34,49
31,37,36,60,83,42,49,55
46,78,58,45,88,38,35,54
48,67,69,250,101,34,39,57
144,94,93,283,185,57,88,265
133,81,105,295,168,68,99,199
104,63,66,220,156,72,100,195
116,69,65,235,117,80,80,191
139,71,91,216,130,54,79,197
108,67,82,258,151,54,74,182
100,55,72,321,160,59,74,183
153,76,88,249,143,58,67,155
105,59,86,260,146,63,70,180
85,54,94,313,119,51,71,162
79,53,79,243,123,48,74,156
111,60,98,293,131,59,82,224
98,54,81,274,124,52,78,169
124,68,73,226,161,56,81,202
95,58,76,253,118,48,60,142
109,52,72,230,137,58,69,182
99,62,58,197,130,55,75,199
96,54,67,194,160,58,74,171
147,81,94,262,186,64,105,192
124,71,97,273,136,74,107,238
134,79,83,253,136,60,88,247
111,54,73,268,163,49,90,208
85,58,80,257,155,57,81,157
106,53,70,238,140,56,68,180
105,53,70,225,140,52,74,199
86,49,75,215,145,67,76,171
89,47,47,114,150,52,78,150
64,39,48,183,129,51,72,139
