0,0,0,0,0,0,0,0
30,66,50,41,31,59,66,88
32,67,54,39,32,57,65,89
29,70,50,43,34,57,63,91
33,71,53,43,33,56,71,95
34,72,49,45,32,57,64,102
32,66,50,39,27,62,65,94
26,61,53,34,32,63,58,97
26,62,58,51,33,65,58,105
30,64,55,63,31,79,53,102
35,61,49,56,35,78,52,95
35,68,50,46,36,68,59,92
31,76,54,50,34,54,63,88
29,71,47,46,30,57,65,86
34,70,51,38,32,62,73,92
37,73,51,47,34,61,72,98
39,69,57,56,36,64,65,95
39,67,62,76,42,66,62,88
42,66,64,94,69,78,69,104
80,71,63,101,98,82,103,140
137,77,62,111,119,111,133,151
271,91,94,150,143,171,218,255
386,109,136,478,226,187,267,339
442,120,162,555,292,237,277,401
557,153,170,741,384,369,476,822
693,200,172,903,460,815,552,991
796,212,176,991,452,889,635,956
947,225,170,965,485,631,631,982
946,212,143,903,424,533,531,980
812,209,127,735,421,458,457,1129
643,160,140,758,371,395,372,931
562,121,137,634,353,338,313,681
566,111,115,629,403,257,265,606
486,122,137,764,436,216,233,506
450,121,131,692,440,231,261,489
431,151,135,706,399,297,315,584
417,153,128,698,418,300,337,672
425,151,131,692,368,270,330,602
496,155,132,717,344,327,363,626
494,158,113,575,346,319,341,595
431,145,106,522,352,222,259,461
453,140,110,513,296,224,267,525
430,109,130,624,295,209,252,405
451,111,117,672,338,189,238,442
470,106,99,513,317,182,226,485
385,118,86,578,297,194,221,425
380,129,89,589,295,208,223,424
359,127,117,659,355,257,260,405
464,126,115,639,347,260,282,513
413,99,117,685,345,235,252,421
