28,23,30,87,222,147,52,29
30,24,27,87,254,150,50,33
29,31,27,85,213,141,48,36
27,34,37,89,185,126,55,36
24,32,42,87,276,149,45,30
25,24,33,117,283,151,44,33
28,20,37,117,235,103,39,37
76,18,33,79,207,88,39,43
76,23,35,79,225,119,43,46
77,25,31,72,217,119,42,44
33,23,30,69,182,97,47,44
31,21,25,73,175,103,37,44
28,20,25,74,171,92,35,27
27,24,48,77,113,77,43,25
27,28,208,84,98,93,63,28
31,40,318,136,129,170,87,37
36,50,459,237,183,213,85,38
53,89,606,398,186,192,82,38
117,131,949,654,197,344,106,42
184,158,1146,853,169,392,138,74
316,242,1274,1086,200,721,272,102
391,302,1482,1404,238,905,391,139
476,306,1531,1606,262,840,430,190
452,286,1302,1436,304,676,366,190
420,236,1252,1256,314,397,205,225
337,207,1236,1257,317,486,208,204
392,226,1040,1255,293,454,204,172
296,229,1075,1314,267,470,216,150
191,204,1152,1193,260,487,226,193
225,315,1310,1367,276,576,228,185
242,329,1389,1592,274,623,251,220
176,212,1313,1613,329,610,221,203
179,213,1150,1580,291,602,241,201
248,183,1140,1352,262,537,240,178
244,215,1101,1497,229,672,298,178
244,260,1228,1482,228,606,284,196
249,274,1328,1471,257,640,281,188
258,308,1324,1434,256,499,216,188
170,290,1315,1539,269,423,218,210
154,224,1310,1591,240,513,231,206
155,210,1173,1567,228,509,239,207
126,218,1125,1556,227,510,179,175
138,222,1071,1504,279,452,160,158
149,179,1154,1464,271,432,184,195
137,189,1151,1327,265,432,200,190
139,227,1176,1078,276,525,220,194
127,252,1325,1247,267,481,208,198
127,247,1295,1378,243,511,189,191
146,251,1238,1363,180,440,178,162
151,260,1087,1292,206,456,229,167
